CLS/tox-miner-dao/trunk/,dao-cls-tox-miner
CRL/CRLICR/crlicrdb-model/trunk/,db-all-clr-icr-model
CRL/DAO/CrlDB/trunk/,dao-all-crl-db
CRL/dao-core/trunk/,dao-all-core
CRL/dao-core-readonly/trunk/,dao-all-core-read-only
CRL/oracle-apps-db/trunk/,db-all-oracle-apps
CRL/participant/PersTrackDB/trunk/,db-all-participant-pers-track-db
CRL/participant/PerstrackModel/trunk/,db-all-pers-track-model
CRL/PWNHealth/pwn-db-module/trunk/,db-all-pwn-health-db-module
CRL/web-oasis-db/trunk/,db-all-web-oasis
CRL/websecur-db/trunk/,db-all-websecur
CRL/websecur-db-module/trunk/,db-all-websecur-model
Databases/OpenVMS-RDB/CLS_DB/Triggers/trunk/,db-cls-open-vms-rdb-triggers
Examples/WebService/RESTfulWebServiceClient/trunk/,ws-all-examples-restful-webservice-client
ILS/Accessioning/ils-client/trunk/,client-ils-accessioning,
ILS/batch-release/batch-release-dao/trunk/,dao-ils-batch-release
ILS/dao/ils-acord-db/trunk/,dao-ils-accord-db
ILS/dao/ils-casemgmt-dao/trunk/,dao-ils-casemgmt
ILS/dao/ils-common-db/trunk/,dao-ils-common
ILS/dao/ilsde-db/trunk/,dao-ils-ilsde-db
ILS/dao/ils-lims-dao/trunk/,dao-ils-lims
ILS/dao/ils-sip-db/trunk/,dao-ils-sip-db
ILS/dao/LabQC-db/trunk/,dao-ils-labqc-db
ILS/ecg-review/ecg-review-model/trunk/,web-ils-ecg-review-model,
ILS/zz-multi/zz-core-db/trunk/,db-ils-zz-multi-core
ILS/zz-multi/zz-dbauth/trunk/,db-ils-zz-multi-dbauth
ILS/zz-multi/zz-deltaDoc/trunk/,db-ils-zz-multi-delts-doc
ILS/zz-multi/zz-jaas-db/trunk/,db-ils-zz-multi-zz-jaas
ILS/zz-multi/zz-lc-db/trunk/,db-ils-zz-multi-zz-lc
oasis/clients/cls/ClsPreAnalytical/trunk/,web-cls-osais-clients-pre-analytical
oasis/clients/cls/DigitalSignature/trunk/,web-cls-oasis-clients-digital-signature
oasis/clients/crl/CRLAmazonWebServicesClient/trunk/,client-all-oasis-clients-crl-amazon-web-services
oasis/clients/crl/crystal/trunk/,util-all-oasis-clients-crystal
oasis/clients/crl/HyperScienceRestfulClient/trunk/,client-all-oasis-clients-crl-hyper-science-restful
oasis/clients/crl/participant/ParticipantWebService/trunk/,ws-all-oasis-clients-participant
oasis/clients/crl/PGIFaxService/trunk/,ws-all-oasis-clients-pgi-fax-service
oasis/clients/formfox/Marketplace/trunk/,web-all-oasis-clients-formfox-marketplace
oasis/clients/formfox/OracleEbs/trunk/,ebs-all-oasis-clients-formfox-oracle
oasis/clients/ils/ILSAcordWSMessage/trunk/,ws-ils-oasis-clients-acord-ws-message
oasis/clients/ils/IlsAddOnService/trunk/,ws-ils-oasis-clients-add-on-service
oasis/clients/ils/ILSCaseManagementWebService/trunk/,ws-ils-oasis-clients-case-management,
oasis/clients/ils/IlsConsentRetransmit/trunk/,util-ils-oasis-clients-consent-retransmit
oasis/clients/ils/ILSEslipTrackingWS/trunk/,ws-ils-oasis-clients-eslip-tracking
oasis/clients/ils/soapui/ILSDataQueueWebService-SoapUI/trunk/,logic-ils-oasis-clients-soapui-data-queue-web-service,
oasis/clients/rls/ReferralLabOrderWebService/trunk/,ws-all-oasis-clients-referral-lab-order
oasis/clients/wls/PreAnalyticalQueueService/trunk/,util-all-oasis-clients-wls-pre-analytical-queue-service,
oasis/clients/wls/Schemas/ElectronicOrder/LifeLine/trunk/,logic-all-oasis-clients-wls-schemas-electronic-order-lifeline,
oasis/clients/wls/WellnessInfoService/trunk/,ws-all-oasis-clients-wls-wellness-info-service
oasis/DAO/cls/labwaredb/trunk/,dao-cls-oasis-labware-db
oasis/DAO/crl/ApplicationConfigDb/trunk/,dao-all-oaisis-application-config-db
oasis/DAO/crl/crl_fax-db/trunk/,dao-all-crl-fax-db
oasis/DAO/crl/crl-db/trunk/,dao-all-oasis-crl-db
oasis/DAO/crl/crl-eslip-tracking-db/trunk/,dao-all-oasis-crl-eslip-tracking-db,
oasis/DAO/crl/crl-lab-qc-db/trunk/,dao-all-oasis-crl-lab-qc-db
oasis/DAO/crl/crl-report-db/trunk/,dao-all-crl-report-db
oasis/DAO/crl/das-db/trunk/,dao-all-crl-oasis-das-db
oasis/DAO/crl/DeltaDOCKDao/trunk/,dao-all-oasis-delta-dock
oasis/DAO/crl/ImageAccessDao/trunk/,dao-all-oasis-image-access
oasis/DAO/crl/PaperStoreDb/trunk/,dao-all-paper-store-db
oasis/genlabview/core/GenLabViewDB/trunk/,db-all-oasis-labview-core-gen-lab-view
oasis/genlabview/core/LabViewDataDB/trunk/,db-all-oasis-gen-labview-core-lab-view-data
oasis/labview/core/LabViewDB/trunk/,db-all-oasis-core-lab-view
oasis/labview/service/crl/LogSampleClient/trunk/,client-all-oasis-labview-service-crl-log-sample
oasis/routing/core/OasisRoutingDB/trunk/,orp-all-labview-core-oasis-routing-db
oasis/routing/launchers/crl/ErrorLoggerWebClient/trunk/,orl-all-error-logger-client
oasis/routing/launchers/crl/ErrorLoggerWebService/trunk/,orl-all-error-logger-web-service
WLS/DAO/PreAnalyticalDB/trunk/,dao-wls-pre-analytical-db
WLS/DAO/PreanalyticalModel/trunk/,dao-wls-pre-analytical-model